"family","description"
"PF05683","HMMPfam"
"PF05684","DUF819"
"PF05685","Putative restriction endonuclease"
"PF05686","Glycosyl transferase family 90"
"PF05688","Salmonella repeat of unknown function (DUF824)"
"PF05690","Thiazole biosynthesis protein ThiG"
"PF05691","Raffinose synthase or seed imbibition protein Sip1"
"PF05692","Mycoplasma haemagglutinin"
"PF05693","Glycogen synthase"
"PF05694","56kDa selenium binding protein (SBP56)"
"PF05695","DUF825"
"PF05697","Trigger_N"
"PF05698","Trigger_C"
"PF05699","hAT family C-terminal dimerisation region"
"PF05700","Breast carcinoma amplified sequence 2 (BCAS2)"
"PF05701","Weak chloroplast movement under blue light"
"PF05704","Capsular polysaccharide synthesis protein"
"PF05705","Eukaryotic protein of unknown function (DUF829)"
"PF05706","Cyclin-dependent kinase inhibitor 3 (CDKN3)"
"PF05707","Zonular occludens toxin (Zot)"
"PF05708","Orthopoxvirus protein of unknown function (DUF830)"
"PF05711","Macrocin-O-methyltransferase (TylF)"
"PF05712","MRG"
"PF05713","Bacterial mobilisation protein (MobC)"
"PF05714","Borrelia_lipo_1"
"PF05716","A-kinase anchor 110 kDa"
"PF05719","Golgi phosphoprotein 3 (GPP34)"
"PF05721","Phytanoyl-CoA dioxygenase (PhyH)"
"PF05722","Ustilago B locus mating-type protein"
"PF05724","Thiopurine S-methyltransferase (TPMT)"
"PF05725","FNIP"
"PF05726","Pirin C-terminal cupin domain"
"PF05728","Uncharacterised protein family (UPF0227)"
"PF05729","NACHT domain"
"PF05730","CFEM domain"
"PF05731","TROVE"
"PF05732","Firmicute plasmid replication protein (RepL)"
"PF05738","Cna_B"
"PF05739","SNARE domain"
"PF05742","NRDE protein"
"PF05743","UEV domain"
"PF05746","DALR anticodon binding domain"
"PF05749","Rubella membrane glycoprotein E2"
"PF05750","Rubella_Capsid"
"PF05752","Calicivirus minor structural protein"
"PF05753","Translocon-associated protein beta (TRAPB)"
"PF05756","S-antigen"
"PF05758","Ycf1"
"PF05760","Immediate early response protein (IER)"
"PF05761","5' nucleotidase family"
"PF05764","YL1 nuclear protein"
"PF05766","Bacteriophage Lambda NinG protein"
"PF05767","Poxvirus virion envelope protein A14"
"PF05768","Glutaredoxin-like domain (DUF836)"
"PF05769","Protein of unknown function (DUF837)"
"PF05770","Inositol 1, 3, 4-trisphosphate 5/6-kinase"
"PF05772","NinB protein"
"PF05773","RWD domain"
"PF05783","Dynein light intermediate chain (DLIC)"
"PF05784","Betaherpesvirus UL82/83 protein N terminus"
"PF05786","Condensin complex subunit 2"
"PF05787","Bacterial protein of unknown function (DUF839)"
"PF05791","Bacillus haemolytic enterotoxin (HBL)"
"PF05792","Candida_ALS"
"PF05793","Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)"
"PF05794","T-complex protein 11"
"PF05795","Plasmodium vivax Vir protein"
"PF05797","Yeast trans-acting factor (REP1/REP2)"
"PF05802","Enterobacterial EspB protein"
"PF05804","KAP"
"PF05806","Noggin"
"PF05808","Podoplanin"
"PF05809","DUF841"
"PF05810","NinF protein"
"PF05812","Herpes_BLRF2"
"PF05816","TelA"
"PF05817","Oligosaccharyltransferase subunit Ribophorin II"
"PF05818","Enterobacterial TraT complement resistance protein"
"PF05821","NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8)"
"PF05822","Pyrimidine 5'-nucleotidase (UMPH-1)"
"PF05823","Nematode fatty acid retinoid binding protein (Gp-FAR-1)"
"PF05827","Vacuolar ATP synthase subunit S1 (ATP6S1)"
"PF05832","Eukaryotic protein of unknown function (DUF846)"
"PF05833","Fibronectin-binding protein A N-terminus (FbpA)"
"PF05834","Lycopene_cycl"
"PF05835","Synaphin protein"
"PF05837","Centromere protein H (CENP-H)"
"PF05838","DUF847"
"PF05839","Apc13p protein"
"PF05840","Bacteriophage replication gene A protein (GPA)"
"PF05841","Apc15p protein"
"PF05843","Suppressor of forked protein (Suf)"
"PF05853","Prokaryotic protein of unknown function (DUF849)"
"PF05854","Non-histone chromosomal protein MC1"
"PF05855","LST"
"PF05856","ARP2/3 complex 20 kDa subunit (ARPC4)"
"PF05857","TraX"
"PF05859","Mis12 protein"
"PF05860","Haemagg_act"
"PF05861","PhnI"
"PF05863","DUF850"
"PF05866","RusA"
"PF05869","DNA N-6-adenine-methyltransferase (Dam)"
"PF05870","Phenolic acid decarboxylase (PAD)"
"PF05871","ESCRT-II complex subunit"
"PF05872","Bacterial protein of unknown function (DUF853)"
"PF05873","ATP synthase D chain, mitochondrial (ATP5H)"
"PF05874","Pheromone biosynthesis activating neuropeptide (PBAN)"
"PF05875","Ceramidase"
"PF05876","Phage terminase large subunit (GpA)"
"PF05878","Phytoreovirus nonstructural protein Pns9/Pns10"
"PF05879","Root hair defective 3 GTP-binding protein (RHD3)"
"PF05881","CNPase"
"PF05882","ACN9"
"PF05883","Baculovirus U-box/Ring-like domain"
"PF05887","Procyclic acidic repetitive protein (PARP)"
"PF05889","Soluble liver antigen/liver pancreas antigen (SLA/LP autoantigen)"
"PF05890","Eukaryotic rRNA processing protein EBP2"
"PF05891","AdoMet dependent proline di-methyltransferase"
"PF05893","Acyl-CoA reductase (LuxC)"
"PF05894","Podovirus DNA encapsidation protein (Gp16)"
"PF05899","Protein of unknown function (DUF861)"
"PF05903","PPPDE putative peptidase domain"
"PF05907","Eukaryotic protein of unknown function (DUF866)"
"PF05908","DUF867"
"PF05909","IWS1_C"
"PF05913","DUF871"
"PF05914","RIB43A"
"PF05915","Eukaryotic protein of unknown function (DUF872)"
"PF05916","GINS complex protein"
"PF05917","Helicobacter pylori protein of unknown function (DUF874)"
"PF05918","Apoptosis inhibitory 5"
"PF05919","Mitovirus RNA-dependent RNA polymerase"
"PF05920","Homeobox KN domain"
"PF05922","Peptidase inhibitor I9"
"PF05926","Phage head completion protein (GPL)"
"PF05929","Phage capsid scaffolding protein (GPO) serine peptidase"
"PF05930","Phage_AlpA"
"PF05933","Fungal ATP synthase protein 8 (A6L)"
"PF05935","Arylsulfotransferase (ASST)"
"PF05936","Bacterial protein of unknown function (DUF876)"
"PF05938","Self-incomp_S1"
"PF05939","Phage minor tail protein"
"PF05942","Archaeal PaREP1/PaREP8 family"
"PF05943","Protein of unknown function (DUF877)"
"PF05947","Bacterial protein of unknown function (DUF879)"
"PF05949","DUF881"
"PF05954","Phage late control gene D protein (GPD)"
"PF05957","DUF883"
"PF05958","tRNA (Uracil-5-)-methyltransferase"
"PF05960","DUF885"
"PF05962","HutD"
"PF05964","FY-rich, N-terminal"
"PF05965","FY-rich, C-terminal"
"PF05967","DUF887"
"PF05970","PIF1-like helicase"
"PF05971","Protein of unknown function (DUF890)"
"PF05973","Phage derived protein Gp49-like (DUF891)"
"PF05974","DUF892"
"PF05975","EcsB"
"PF05977","Transmembrane secretion effector"
"PF05978","Ion channel regulatory protein UNC-93"
"PF05980","Toxin 7"
"PF05982","Domain of unknown function (DUF897)"
"PF05983","MED7 protein"
"PF05985","Ethanolamine ammonia-lyase light chain (EutC)"
"PF05987","Bacterial protein of unknown function (DUF898)"
"PF05988","DUF899"
"PF05990","Alpha/beta hydrolase of unknown function (DUF900)"
"PF05991","DUF901"
"PF05992","SbmA/BacA-like family"
"PF05994","FragX_IP"
"PF05995","Cysteine dioxygenase type I"
"PF05996","Ferredoxin-dependent bilin reductase"
"PF05997","Nucleolar protein,Nop52"
"PF06003","Survival motor neuron protein (SMN)"
"PF06005","Protein of unknown function (DUF904)"
"PF06007","PhnJ"
"PF06008","Laminin Domain I"
"PF06009","Laminin Domain II"
"PF06011","Transient receptor potential (TRP) ion channel"
"PF06012","Domain of Unknown Function (DUF908)"
"PF06013","Proteins of 100 residues with WXG"
"PF06014","DUF910"
"PF06017","Myosin tail"
"PF06018","CodY"
"PF06024","Nucleopolyhedrovirus protein of unknown function (DUF912)"
"PF06025","Domain of Unknown Function (DUF913)"
"PF06026","Ribose 5-phosphate isomerase A (phosphoriboisomerase A)"
"PF06027","Eukaryotic protein of unknown function (DUF914)"
"PF06028","DUF915"
"PF06029","AlkA N-terminal domain"
"PF06031","SERTA motif"
"PF06032","Protein of unknown function (DUF917)"
"PF06039","Mqo"
"PF06041","Bacterial protein of unknown function (DUF924)"
"PF06042","DUF925"
"PF06045","Rhamnogal_lyase"
"PF06046","Exocyst complex component Sec6"
"PF06047","Ras-induced vulval development antagonist"
"PF06048","Domain of unknown function (DUF927)"
"PF06049","LSPR"
"PF06052","3-hydroxyanthranilic acid dioxygenase"
"PF06054","CoiA"
"PF06056","Putative ATPase subunit of terminase (gpP-like)"
"PF06058","Dcp1-like decapping family"
"PF06059","Domain of Unknown Function (DUF930)"
"PF06064","Host-nuclease inhibitor protein Gam"
"PF06067","DUF932"
"PF06068","TIP49 C-terminus"
"PF06071","Protein of unknown function (DUF933)"
"PF06072","Herpes_US9"
"PF06074","Protein of unknown function (DUF935)"
"PF06075","Plant protein of unknown function (DUF936)"
"PF06078","Bacterial protein of unknown function (DUF937)"
"PF06079","Apyrase"
"PF06080","DUF938"
"PF06081","DUF939"
"PF06082","DUF940"
"PF06084","Cytomegalovirus TRL10 protein"
"PF06087","Tyrosyl-DNA phosphodiesterase"
"PF06089","L-asparaginase II"
"PF06090","Inositol-pentakisphosphate 2-kinase"
"PF06093","Spt4/RpoE2 zinc finger"
"PF06094","AIG2-like family"
"PF06098","Radial_spoke_3"
"PF06100","Strep_67kDa_ant"
"PF06101","Plant protein of unknown function (DUF946)"
"PF06102","Domain of unknown function (DUF947)"
"PF06103","DUF948"
"PF06105","Aph-1 protein"
"PF06108","Protein of unknown function (DUF952)"
"PF06110","DUF953"
"PF06113","Brain and reproductive organ-expressed protein (BRE)"
"PF06114","DUF955"
"PF06116","RinB"
"PF06122","TraH"
"PF06127","Protein of unknown function (DUF962)"
"PF06128","Shigella flexneri OspC protein"
"PF06131","Schizosaccharomyces pombe repeat of unknown function (DUF963)"
"PF06133","DUF964"
"PF06135","DUF965"
"PF06140","Interferon-induced 6-16 family"
"PF06141","Phage minor tail protein U"
"PF06142","HMMPfam"
"PF06144","DNA_pol3_delta"
"PF06147","Protein of unknown function (DUF968)"
"PF06148","COG (conserved oligomeric Golgi) complex component, COG2"
"PF06150","HMMPfam"
"PF06153","DUF970"
"PF06155","Protein of unknown function (DUF971)"
"PF06156","DUF972"
"PF06159","Protein of unknown function (DUF974)"
"PF06160","Septation ring formation regulator, EzrA"
"PF06165","Glycosyltransferase family 36"
"PF06167","Glucose-regulated metallo-peptidase M90"
"PF06169","Protein of unknown function (DUF982)"
"PF06170","Protein of unknown function (DUF983)"
"PF06171","DUF984"
"PF06172","Cupin superfamily (DUF985)"
"PF06175","tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)"
"PF06176","Lipopolysaccharide core biosynthesis protein (WaaY)"
"PF06177","QueT transporter"
"PF06178","KdgM"
"PF06179","Surfeit locus protein 5 subunit 22 of Mediator complex"
"PF06183","DinI"
"PF06185","YecM protein"
"PF06188","HrpE"
"PF06191","Protein of unknown function (DUF995)"
"PF06193","Orthopoxvirus A5L protein-like"
"PF06197","Protein of unknown function (DUF998)"
"PF06198","DUF999"
"PF06199","Phage_tail_2"
"PF06201","PITH domain"
"PF06202","Amylo-alpha-1,6-glucosidase"
"PF06205","Glycosyltransferase 36 associated family"
"PF06207","DUF1002"
"PF06209","Cofactor of BRCA1 (COBRA1)"
"PF06210","HMMPfam"
"PF06211","BMP and activin membrane-bound inhibitor (BAMBI) N-terminal domain"
"PF06212","GRIM-19 protein"
"PF06213","Cobalamin biosynthesis protein CobT"
"PF06217","GAGA binding protein-like family"
"PF06218","Nitrogen permease regulator 2"
"PF06219","Protein of unknown function (DUF1005)"
"PF06220","U1 zinc finger"
"PF06221","Putative zinc finger motif, C2HC5-type"
"PF06223","Minor tail protein T"
"PF06224","Winged helix DNA-binding domain"
"PF06229","FRG1-like family"
"PF06240","Carbon monoxide dehydrogenase subunit G (CoxG)"
"PF06242","Protein of unknown function (DUF1013)"
"PF06244","Protein of unknown function (DUF1014)"
"PF06246","Isy1-like splicing family"
"PF06248","Centromere/kinetochore Zw10"
"PF06249","Ethanolamine utilisation protein EutQ"
"PF06250","Protein of unknown function (DUF1016)"
"PF06252","Protein of unknown function (DUF1018)"
"PF06255","DUF1020"
"PF06257","DUF1021"
"PF06258","Mitochondrial fission ELM1"
"PF06267","Family of unknown function (DUF1028)"
"PF06268","Fascin domain"
"PF06271","RDD family"
"PF06272","HMMPfam"
"PF06273","Plant specific eukaryotic initiation factor 4B"
"PF06276","Ferric iron reductase FhuF-like transporter"
"PF06278","DUF1032"
"PF06280","Fn3-like domain (DUF1034)"
"PF06282","DUF1036"
"PF06283","Trehalose utilisation"
"PF06292","Domain of Unknown Function (DUF1041)"
"PF06293","Lipopolysaccharide kinase (Kdo/WaaP) family"
"PF06294","DUF1042"
"PF06298","Photosystem II protein Y (PsbY)"
"PF06305","Protein of unknown function (DUF1049)"
"PF06309","Torsin"
"PF06314","Acetoacetate decarboxylase (ADC)"
"PF06315","Isocitrate dehydrogenase kinase/phosphatase (AceK)"
"PF06316","Enterobacterial Ail/Lom protein"
"PF06320","GCN5-like protein 1 (GCN5L1)"
"PF06325","Ribosomal protein L11 methyltransferase (PrmA)"
"PF06329","HMMPfam"
"PF06330","Trichodiene synthase (TRI5)"
"PF06331","Transcription factor TFIIH complex subunit Tfb5"
"PF06333","Mediator complex subunit 13 C-terminal"
"PF06335","DUF1054"
"PF06337","DUSP domain"
"PF06346","Formin Homology Region 1"
"PF06347","SH3_4"
"PF06354","DUF1063"
"PF06355","Aegerolysin"
"PF06356","Protein of unknown function (DUF1064)"
"PF06357","Omega-atracotoxin"
"PF06363","Picornaviridae P3A protein"
"PF06365","CD34/Podocalyxin family"
"PF06367","Diaphanous FH3 Domain"
"PF06369","Anemone_cytotox"
"PF06371","Diaphanous GTPase-binding Domain"
"PF06372","Gemin6 protein"
"PF06375","Bovine leukaemia virus receptor (BLVR)"
"PF06382","Protein of unknown function (DUF1074)"
"PF06386","HMMPfam"
"PF06390","Neuroendocrine-specific golgi protein P55 (NESP55)"
"PF06391","CDK-activating kinase assembly factor MAT1"
"PF06395","CDC24 Calponin"
"PF06396","Angiotensin II, type I receptor-associated protein (AGTRAP)"
"PF06398","Integral peroxisomal membrane peroxin"
"PF06403","Lamprin"
"PF06406","StbA protein"
"PF06408","Homo_sperm_syn"
"PF06412","Conjugal transfer protein TraD"
"PF06413","Neugrin"
"PF06414","Zeta toxin"
"PF06415","BPG-independent PGAM N-terminus (iPGM_N)"
"PF06417","Protein of unknown function (DUF1077)"
"PF06418","CTP synthase N-terminus"
"PF06419","Conserved oligomeric complex COG6"
"PF06420","Mitochondrial genome maintenance MGM101"
"PF06421","GTP-binding protein LepA C-terminus"
"PF06422","CDR ABC transporter"
"PF06423","GWT1"
"PF06424","PRP1 splicing factor, N-terminal"
"PF06425","Psf3"
"PF06426","Serine acetyltransferase, N-terminal"
"PF06427","UDP-glucose:Glycoprotein Glucosyltransferase"
"PF06428","GDP/GTP exchange factor Sec2p"
"PF06429","Flagellar basal body rod FlgEFG protein C-terminal"
"PF06431","Polyoma_lg_T_C"
"PF06432","Phosphatidylinositol N-acetylglucosaminyltransferase"
"PF06433","Methylamine dehydrogenase heavy chain (MADH)"
"PF06437","IMP-specific 5'-nucleotidase"
"PF06439","Domain of Unknown Function (DUF1080)"
"PF06441","Epoxide hydrolase N terminus"
"PF06445","GyrI-like small molecule binding domain"
"PF06447","TraB_pillus"
"PF06452","Domain of unknown function (DUF1083)"
"PF06455","NADH5_C"
"PF06456","Arfaptin"
"PF06460","Coronavirus NSP13"
"PF06462","Propeller"
"PF06463","Molybdenum Cofactor Synthesis C"
"PF06464","DMAP1-binding Domain"
"PF06465","Domain of Unknown Function (DUF1087)"
"PF06467","MYM-type Zinc finger with FCS sequence motif"
"PF06468","Spondin_N"
"PF06470","SMC proteins Flexible Hinge Domain"
"PF06472","ABC transporter transmembrane region 2"
"PF06475","Putative glycolipid-binding"
"PF06477","Protein of unknown function (DUF1091)"
"PF06479","Ribonuclease 2-5A"
"PF06480","FtsH Extracellular"
"PF06481","COX_ARM"
"PF06483","Chitinase C"
"PF06484","Teneurin Intracellular Region"
"PF06486","DUF1093"
"PF06487","Sin3 associated polypeptide p18 (SAP18)"
"PF06491","DUF1094"
"PF06500","Alpha/beta hydrolase of unknown function (DUF1100)"
"PF06506","PrpR_N"
"PF06508","ExsB"
"PF06512","Na_trans_assoc"
"PF06513","DUF1103"
"PF06516","NUP"
"PF06518","Protein of unknown function (DUF1104)"
"PF06519","TolA"
"PF06522","NADH-ubiquinone reductase complex 1 MLRQ subunit"
"PF06524","NOA36 protein"
"PF06532","Protein of unknown function (DUF1109)"
"PF06535","Repulsive guidance molecule (RGM) N-terminus"
"PF06541","Protein of unknown function (DUF1113)"
"PF06542","Regulator protein PHA-1"
"PF06544","Protein of unknown function (DUF1115)"
"PF06545","Protein of unknown function (DUF1116)"
"PF06548","Kinesin-related"
"PF06551","DUF1120"
"PF06552","Plant specific mitochondrial import receptor subunit TOM20"
"PF06555","DUF1121"
"PF06560","Glucose-6-phosphate isomerase (GPI)"
"PF06561","DUF1123"
"PF06564","YhjQ protein"
"PF06565","DUF1126"
"PF06568","DUF1127"
"PF06571","DUF1130"
"PF06573","Churchill"
"PF06574","FAD synthetase"
"PF06580","His_kinase"
"PF06581","Mad1 and Cdc20-bound-Mad2 binding"
"PF06582","Repeat of unknown function (DUF1136)"
"PF06586","TraK protein"
"PF06588","Muskelin, N-terminal"
"PF06596","PsbX"
"PF06597","Clostridium P-47 protein"
"PF06600","Protein of unknown function (DUF1140)"
"PF06602","Myotubularin-like phosphatase domain"
"PF06607","Prokineticin"
"PF06608","Protein of unknown function (DUF1143)"
"PF06609","Fungal trichothecene efflux pump (TRI12)"
"PF06611","Protein of unknown function (DUF1145)"
"PF06617","M-phase inducer phosphatase"
"PF06621","Single-minded protein C-terminus"
"PF06624","Ribosome associated membrane protein RAMP4"
"PF06626","Protein of unknown function (DUF1152)"
"PF06628","Catalase-related immune-responsive"
"PF06629","MipA"
"PF06632","DNA double-strand break repair and V(D)J recombination protein XRCC4"
"PF06634","Protein of unknown function (DUF1156)"
"PF06637","PV-1 protein (PLVAP)"
"PF06640","P protein C-terminus"
"PF06644","ATP11 protein"
"PF06645","Microsomal signal peptidase 12 kDa subunit (SPC12)"
"PF06650","Protein of unknown function (DUF1162)"
"PF06657","Centrosome microtubule-binding domain of Cep57"
"PF06658","Protein of unknown function (DUF1168)"
"PF06661","VirE3"
"PF06664","Wnt-binding factor required for Wnt secretion"
"PF06666","DUF1173"
"PF06676","Protein of unknown function (DUF1178)"
"PF06677","Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27)"
"PF06679","Protein of unknown function (DUF1180)"
"PF06682","Protein of unknown function (DUF1183)"
"PF06687","SUR7/PalI family"
"PF06689","zf-C4_ClpX"
"PF06691","Protein of unknown function (DUF1189)"
"PF06694","Plant nuclear matrix protein 1 (NMP1)"
"PF06696","Strep_SA_rep"
"PF06697","Protein of unknown function (DUF1191)"
"PF06698","Protein of unknown function (DUF1192)"
"PF06699","GPI biosynthesis protein family Pig-F"
"PF06701","Mib_herc2"
"PF06703","Microsomal signal peptidase 25 kDa subunit (SPC25)"
"PF06705","SF-assemblin/beta giardin"
"PF06715","Gp5_C"
"PF06718","DUF1203"
"PF06719","HMMPfam"
"PF06721","Protein of unknown function (DUF1204)"
"PF06722","DUF1205"
"PF06723","MreB_Mbl"
"PF06724","Domain of Unknown Function (DUF1206)"
"PF06725","3D domain"
"PF06726","Bladder cancer-related protein BC10"
"PF06728","GPI transamidase subunit PIG-U"
"PF06730","DUF1208"
"PF06732","Pescadillo N-terminus"
"PF06733","DEAD_2"
"PF06736","Protein of unknown function (DUF1211)"
"PF06737","Transglycosylase-like domain"
"PF06738","Protein of unknown function (DUF1212)"
"PF06739","Beta-propeller repeat"
"PF06741","LsmAD domain"
"PF06742","Protein of unknown function (DUF1214)"
"PF06744","Protein of unknown function (DUF1215)"
"PF06745","KaiC"
"PF06746","Protein of unknown function (DUF1216)"
"PF06747","CHCH domain"
"PF06751","EutB"
"PF06752","Enhancer of Polycomb C-terminus"
"PF06758","Repeat of unknown function (DUF1220)"
"PF06763","Prophage minor tail protein Z (GPZ)"
"PF06764","DUF1223"
"PF06766","Fungal hydrophobin"
"PF06769","Plasmid_Txe"
"PF06772","Bacterial low temperature requirement A protein (LtrA)"
"PF06773","Bim protein N-terminus"
"PF06775","Putative adipose-regulatory protein (Seipin)"
"PF06777","Protein of unknown function (DUF1227)"
"PF06778","Chlor_dismutase"
"PF06779","Protein of unknown function (DUF1228)"
"PF06780","Erp protein C-terminus"
"PF06784","Uncharacterised protein family (UPF0240)"
"PF06785","Uncharacterised protein family (UPF0242)"
"PF06791","TMP_2"
"PF06792","Uncharacterised protein family (UPF0261)"
"PF06794","Uncharacterised protein family (UPF0270)"
"PF06799","Protein of unknown function (DUF1230)"
"PF06800","Sugar_transport"
"PF06803","DUF1232"
"PF06805","Bacteriophage lambda tail assembly protein I"
"PF06807","Pre-mRNA cleavage complex II protein Clp1"
"PF06808","DctM-like transporters"
"PF06809","Neural proliferation differentiation control-1 protein (NPDC1)"
"PF06810","Phage_GP20"
"PF06812","ImpA-rel_N"
"PF06813","Nodulin-like"
"PF06814","Lung seven transmembrane receptor"
"PF06817","RVT_thumb"
"PF06818","Fez1"
"PF06821","DUF1234"
"PF06824","Protein of unknown function (DUF1237)"
"PF06825","Heat shock factor binding protein 1"
"PF06827","zf-FPG_IleRS"
"PF06829","DUF1238"
"PF06831","Formamidopyrimidine-DNA glycosylase H2TH domain"
"PF06835","DUF1239"
"PF06838","Alum_res"
"PF06839","GRF zinc finger"
"PF06840","Protein of unknown function (DUF1241)"
"PF06841","T4-like virus tail tube protein gp19"
"PF06842","DUF1242"
"PF06845","IolB"
"PF06854","Bacteriophage Gp15 protein"
"PF06855","DUF1250"
"PF06858","Nucleolar GTP-binding protein 1 (NOG1)"
"PF06859","Bicoid-interacting protein 3 (Bin3)"
"PF06862","Protein of unknown function (DUF1253)"
"PF06863","Protein of unknown function (DUF1254)"
"PF06869","Protein of unknown function (DUF1258)"
"PF06870","A49-like RNA polymerase I associated factor"
"PF06873","Cell surface immobilisation antigen SerH"
"PF06874","FBPase_2"
"PF06875","PRF"
"PF06881","RNA polymerase II transcription factor SIII (Elongin) subunit A"
"PF06883","RNA polymerase I, Rpa2 specific domain"
"PF06884","Protein of unknown function (DUF1264)"
"PF06885","HMMPfam"
"PF06886","Targeting for Xklp2"
"PF06888","HAD-superfamily hydrolase, subfamily IB, hypothetical 1"
"PF06889","Protein of unknown function (DUF1266)"
"PF06891","P2 phage tail completion protein R (GpR)"
"PF06894","Bacteriophage lambda minor tail protein (GpG)"
"PF06897","Protein of unknown function (DUF1269)"
"PF06899","WzyE"
"PF06900","Protein of unknown function (DUF1270)"
"PF06906","Protein of unknown function (DUF1272)"
"PF06908","DUF1273"
"PF06910","Male enhanced antigen 1 (MEA1)"
"PF06911","Senescence-associated protein"
"PF06912","Protein of unknown function (DUF1275)"
"PF06914","DUF1277"
"PF06916","Protein of unknown function (DUF1279)"
"PF06917","Periplasmic pectate lyase"
"PF06920","Dedicator of cytokinesis"
"PF06923","Glucitol operon activator protein (GutM)"
"PF06925","MGDG_synth"
"PF06927","HMMPfam"
"PF06929","Rotavirus VP3 protein"
"PF06930","Protein of unknown function (DUF1282)"
"PF06933","Special lobe-specific silk protein SSP160"
"PF06936","Selenoprotein S (SelS)"
"PF06941","5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)"
"PF06943","zf-LSD1"
"PF06949","DUF1292"
"PF06951","Group XII secretory phospholipase A2 precursor (PLA2G12)"
"PF06957","Coatomer (COPI) alpha subunit C-terminus"
"PF06961","Protein of unknown function (DUF1294)"
"PF06962","rRNA_methylase"
"PF06963","Ferroportin1 (FPN1)"
"PF06964","Alpha-L-arabinofuranosidase C-terminus"
"PF06965","Na_H_antiport_1"
"PF06966","Protein of unknown function (DUF1295)"
"PF06968","Biotin and Thiamin Synthesis associated domain"
"PF06969","HemN_C"
"PF06971","Put_DNA-bind_N"
"PF06972","Protein of unknown function (DUF1296)"
"PF06974","Protein of unknown function (DUF1298)"
"PF06977","SdiA-regulated"
"PF06978","Ribonucleases P/MRP protein subunit POP1"
"PF06980","Protein of unknown function (DUF1302)"
"PF06983","3-dmu-9_3-mt"
"PF06984","Mitochondrial 39-S ribosomal protein L47 (MRP-L47)"
"PF06985","Heterokaryon incompatibility protein (HET)"
"PF06986","TraN"
"PF06990","Galactose-3-O-sulfotransferase"
"PF06991","Splicing factor, Prp19-binding domain"
"PF06992","Replication protein P"
"PF06993","DUF1304"
"PF06995","Phage P2 GpU"
"PF06996","Protein of unknown function (DUF1305)"
"PF06998","DUF1307"
"PF06999","Sucrase/ferredoxin-like"
"PF07000","Protein of unknown function (DUF1308)"
"PF07001","BAT2 N-terminus"
"PF07002","Copine"
"PF07004","DUF1309"
"PF07005","Protein of unknown function, DUF1537"
"PF07007","Protein of unknown function (DUF1311)"
"PF07009","DUF1312"
"PF07010","Endomucin"
"PF07011","Protein of unknown function (DUF1313)"
"PF07012","Curlin_rpt"
"PF07019","Rab5-interacting protein (Rab5ip)"
"PF07021","MetW"
"PF07022","Phage_CI_repr"
"PF07023","Protein of unknown function (DUF1315)"
"PF07024","ImpE protein"
"PF07034","Origin recognition complex (ORC) subunit 3 N-terminus"
"PF07035","Colon cancer-associated protein Mic1-like"
"PF07039","SGF29 tudor-like domain"
"PF07043","DUF1328"
"PF07044","Protein of unknown function (DUF1329)"
"PF07045","DUF1330"
"PF07046","CRA_rpt"
"PF07047","Optic atrophy 3 protein (OPA3)"
"PF07050","DUF1333"
"PF07052","Hepatocellular carcinoma-associated antigen 59"
"PF07054","Pericardin_rpt"
"PF07058","Myosin II heavy chain-like"
"PF07060","DUF1530"
"PF07061","Swi5"
"PF07062","Clc-like"
"PF07063","Domain of unknown function (DUF1338)"
"PF07064","RIC1"
"PF07065","D123"
"PF07068","Major capsid protein Gp23"
"PF07070","SpoOM protein"
"PF07071","Protein of unknown function (DUF1341)"
"PF07074","Translocon-associated protein, gamma subunit (TRAP-gamma)"
"PF07075","Protein of unknown function (DUF1343)"
"PF07080","Protein of unknown function (DUF1348)"
"PF07081","Protein of unknown function (DUF1349)"
"PF07085","DRTGG"
"PF07091","FmrO"
"PF07092","Protein of unknown function (DUF1356)"
"PF07093","SGT1 protein"
"PF07096","Protein of unknown function (DUF1358)"
"PF07103","Protein of unknown function (DUF1365)"
"PF07106","Tat binding protein 1(TBP-1)-interacting protein (TBPIP)"
"PF07110","EthD domain"
"PF07111","Alpha helical coiled-coil rod protein (HCR)"
"PF07120","Protein of unknown function (DUF1376)"
"PF07122","Variable length PCR target protein (VLPT)"
"PF07123","PsbW_2"
"PF07133","Merozoite surface protein (SPAM)"
"PF07137","Violaxanthin de-epoxidase (VDE)"
"PF07142","DUF1388"
"PF07143","Hydroxyneurosporene synthase (CrtC)"
"PF07145","Ataxin-2 C-terminal region"
"PF07156","Prenylcysteine lyase"
"PF07159","Protein of unknown function (DUF1394)"
"PF07160","Protein of unknown function (DUF1395)"
"PF07162","B9"
"PF07163","Pex26 protein"
"PF07167","Poly-beta-hydroxybutyrate polymerase (PhaC) N-terminus"
"PF07171","MlrC_C"
"PF07172","GRP"
"PF07173","Protein of unknown function (DUF1399)"
"PF07174","Fibronectin-attachment protein (FAP)"
"PF07186","TraB_2"
"PF07189","Splicing factor 3B subunit 10 (SF3b10)"
"PF07191","zinc-ribbons"
"PF07194","P2 response regulator binding domain"
